date,close,Mkt-RF,SMB,HML,RMW,CMA
2017-11-16,3.0,1.01,0.78,-0.52,0.52,0.32
2017-11-17,3.08,-0.14,0.73,0.29,-0.16,0.35
2017-11-20,3.21,0.21,0.62,0.0,0.27,-0.01
2017-11-21,3.15,0.67,0.35,-0.35,0.04,-0.62
2017-11-22,3.2,-0.05,0.09,-0.03,-0.26,0.16
2017-11-24,3.23,0.21,0.01,-0.45,0.04,-0.09
2017-11-27,3.48,-0.06,-0.32,0.03,0.59,-0.1
2017-11-28,3.56,1.06,0.57,0.86,0.32,0.03
2017-11-29,3.13,0.02,0.3,1.44,0.81,0.6
2017-11-30,3.31,0.82,-0.6,-0.51,-0.19,0.02
2017-12-01,3.31,-0.22,-0.33,0.37,-0.43,0.33
2017-12-04,3.25,-0.1,-0.14,1.23,1.0,0.57
2017-12-05,3.29,-0.43,-0.45,-0.24,0.18,-0.11
2017-12-06,3.32,-0.09,-0.52,-0.52,0.42,-0.5
2017-12-07,3.41,0.42,0.28,-0.17,-0.27,0.07
2017-12-08,3.49,0.51,-0.42,-0.13,-0.08,0.07
2017-12-11,3.6,0.26,-0.41,-0.14,-0.08,0.07
2017-12-12,3.92,0.07,-0.47,0.52,0.03,0.1
2017-12-13,3.86,0.02,0.62,-0.88,0.27,-0.07
2017-12-14,3.72,-0.47,-0.75,-0.21,-0.15,-0.12
2017-12-15,3.75,0.92,0.68,0.03,0.4,-0.51
2017-12-18,4.01,0.67,0.82,0.26,0.26,0.16
2017-12-19,4.15,-0.3,-0.34,-0.26,0.26,0.38
2017-12-20,4.08,0.01,0.38,0.05,-0.17,0.27
2017-12-21,4.3,0.24,0.32,0.63,-0.75,0.32
2017-12-22,4.53,-0.07,-0.21,-0.2,-0.13,0.2
2017-12-26,5.23,-0.07,0.32,-0.06,-0.17,0.57
2017-12-27,5.54,0.05,-0.16,-0.19,0.08,-0.12
2017-12-28,7.0,0.22,0.09,0.04,-0.15,-0.2
2017-12-29,7.73,-0.57,-0.3,0.02,0.17,0.15
2018-01-02,8.06,0.85,0.31,-0.22,-0.45,0.22
2018-01-03,8.6,0.59,-0.48,-0.21,-0.75,-0.08
2018-01-04,7.75,0.42,-0.23,0.24,-0.04,0.3
2018-01-05,8.48,0.66,-0.36,-0.27,0.39,-0.36
2018-01-08,10.95,0.19,-0.21,0.07,-0.1,0.04
