date,Mkt-RF,SMB,HML,RMW,CMA,return,return_t-1,return_t-2,return_t-3,return_t-4,return_t-5,return_t-6,return_t-7,return5D,return5D_t-1,return5D_t-2,return5D_t-3,return5D_t-4,return5D_t-5,return5D_t-6,return5D_t-7,MOM1D,MOM1D_t-1,MOM1D_t-2,MOM1D_t-3,MOM1D_t-4,MOM1D_t-5,MOM1D_t-6,MOM1D_t-7,MOM5D,MOM5D_t-1,MOM5D_t-2,MOM5D_t-3,MOM5D_t-4,MOM5D_t-5,MOM5D_t-6,MOM5D_t-7,sma_7D,sma_14D,sma_21D,EWM7D,EWM14D,EWM21D,STD7D,STD14D,STD21D,return_sign
2017-05-22,0.56,0.25,-0.31,0.03,-0.33,0.002021930854481219,-0.003108971880849938,-0.0012408873935992233,-0.018583042624916907,-0.003493585994256389,-0.0016665407993200338,-0.009791446758780317,-0.0031430093971992513,-0.024404557039141204,-0.028093028692942498,-0.03477550357087283,-0.03667762557447285,-0.028352607933519222,-0.018925166818550727,-0.02599877498370624,-0.02032861754369471,0.12999999999999545,-0.20000000000000284,-0.0799999999999983,-1.2099999999999937,-0.23000000000000398,-0.10999999999999943,-0.6499999999999915,-0.21000000000000796,-1.5900000000000034,-1.8299999999999983,-2.279999999999987,-2.4099999999999966,-1.8900000000000006,-1.259999999999991,-1.7399999999999949,-1.3700000000000045,65.03714285714285,66.19999999999989,66.77238095238094,65.02942627276121,65.7713659495978,66.171657401959,0.8268759335776911,1.3719497636024263,1.467405549812642,1
2017-05-23,0.18,-0.01,0.61,-0.24,0.09,0.005114307931711527,0.002021930854481219,-0.003108971880849938,-0.0012408873935992233,-0.018583042624916907,-0.003493585994256389,-0.0016665407993200338,-0.009791446758780317,-0.015796663113173254,-0.024404557039141204,-0.028093028692942498,-0.03477550357087283,-0.03667762557447285,-0.028352607933519222,-0.018925166818550727,-0.02599877498370624,0.3299999999999983,0.12999999999999545,-0.20000000000000284,-0.0799999999999983,-1.2099999999999937,-0.23000000000000398,-0.10999999999999943,-0.6499999999999915,-1.0300000000000011,-1.5900000000000034,-1.8299999999999983,-2.279999999999987,-2.4099999999999966,-1.8900000000000006,-1.259999999999991,-1.7399999999999949,64.84142857142857,66.01999999999988,66.69809523809523,64.94456970457091,65.62718382298475,66.03696127450819,0.6962381913209047,1.3943733083645828,1.5331849824721306,1
2017-05-24,0.24,-0.22,-0.49,0.18,-0.31,-0.00589148990912225,0.005114307931711527,0.002021930854481219,-0.003108971880849938,-0.0012408873935992233,-0.018583042624916907,-0.003493585994256389,-0.0016665407993200338,-0.0031051103973785813,-0.015796663113173254,-0.024404557039141204,-0.028093028692942498,-0.03477550357087283,-0.03667762557447285,-0.028352607933519222,-0.018925166818550727,-0.37999999999999545,0.3299999999999983,0.12999999999999545,-0.20000000000000284,-0.0799999999999983,-1.2099999999999937,-0.23000000000000398,-0.10999999999999943,-0.20000000000000284,-1.0300000000000011,-1.5900000000000034,-1.8299999999999983,-2.279999999999987,-2.4099999999999966,-1.8900000000000006,-1.259999999999991,64.60714285714285,65.75071428571417,66.56428571428572,64.78592727842819,65.45155931325344,65.87996479500745,0.512793469988989,1.3284141168840526,1.6149630690166143,-1
2017-05-25,0.42,-0.35,-0.77,0.67,-0.62,0.003879883814921469,-0.00589148990912225,0.005114307931711527,0.002021930854481219,-0.003108971880849938,-0.0012408873935992233,-0.018583042624916907,-0.003493585994256389,0.0020156608111422023,-0.0031051103973785813,-0.015796663113173254,-0.024404557039141204,-0.028093028692942498,-0.03477550357087283,-0.03667762557447285,-0.028352607933519222,0.25,-0.37999999999999545,0.3299999999999983,0.12999999999999545,-0.20000000000000284,-0.0799999999999983,-1.2099999999999937,-0.23000000000000398,0.12999999999999545,-0.20000000000000284,-1.0300000000000011,-1.5900000000000034,-1.8299999999999983,-2.279999999999987,-2.4099999999999966,-1.8900000000000006,64.44142857142856,65.5192857142856,66.38999999999999,64.72944545882113,65.33268473815298,65.75996799546131,0.1577369721630629,1.2218930098316252,1.6248076809277492,1
2017-05-26,0.06,-0.02,0.09,0.2,0.15,-0.0009298001599666387,0.003879883814921469,-0.00589148990912225,0.005114307931711527,0.002021930854481219,-0.003108971880849938,-0.0012408873935992233,-0.018583042624916907,0.0041948325320256726,0.0020156608111422023,-0.0031051103973785813,-0.015796663113173254,-0.024404557039141204,-0.028093028692942498,-0.03477550357087283,-0.03667762557447285,-0.060000000000002274,0.25,-0.37999999999999545,0.3299999999999983,0.12999999999999545,-0.20000000000000284,-0.0799999999999983,-1.2099999999999937,0.269999999999996,0.12999999999999545,-0.20000000000000284,-1.0300000000000011,-1.5900000000000034,-1.8299999999999983,-2.279999999999987,-2.4099999999999966,64.43999999999998,65.32571428571417,66.19571428571427,64.67208409411585,65.22166010639924,65.64542545041937,0.15705625321166025,1.145732646260129,1.5934759848480566,-1
2017-05-30,-0.19,-0.54,-0.32,0.67,-0.01,-0.0001550507794409,-0.0009298001599666387,0.003879883814921469,-0.00589148990912225,0.005114307931711527,0.002021930854481219,-0.003108971880849938,-0.0012408873935992233,0.0020178508981034964,0.0041948325320256726,0.0020156608111422023,-0.0031051103973785813,-0.015796663113173254,-0.024404557039141204,-0.028093028692942498,-0.03477550357087283,-0.010000000000005116,-0.060000000000002274,0.25,-0.37999999999999545,0.3299999999999983,0.12999999999999545,-0.20000000000000284,-0.0799999999999983,0.12999999999999545,0.269999999999996,0.12999999999999545,-0.20000000000000284,-1.0300000000000011,-1.5900000000000034,-1.8299999999999983,-2.279999999999987,64.44857142857141,65.10285714285702,66.00238095238095,64.62656307058688,65.124105425546,65.54038677310851,0.1580536376904067,0.954756743659592,1.5389148929101892,-1
2017-05-31,-0.02,-0.05,-0.56,0.32,-0.08,0.006183355610791256,-0.0001550507794409,-0.0009298001599666387,0.003879883814921469,-0.00589148990912225,0.005114307931711527,0.002021930854481219,-0.003108971880849938,0.0030868985771829813,0.0020178508981034964,0.0041948325320256726,0.0020156608111422023,-0.0031051103973785813,-0.015796663113173254,-0.024404557039141204,-0.028093028692942498,0.4000000000000057,-0.010000000000005116,-0.060000000000002274,0.25,-0.37999999999999545,0.3299999999999983,0.12999999999999545,-0.20000000000000284,0.20000000000000284,0.12999999999999545,0.269999999999996,0.12999999999999545,-0.20000000000000284,-1.0300000000000011,-1.5900000000000034,-1.8299999999999983,64.54285714285713,64.95785714285702,65.84904761904762,64.69242230294016,65.09289136880653,65.4812607028259,0.19779739515479394,0.7990010934008999,1.4776126175763213,1
2017-06-01,0.95,1.0,0.04,-0.22,0.04,-0.00416956823672478,0.006183355610791256,-0.0001550507794409,-0.0009298001599666387,0.003879883814921469,-0.00589148990912225,0.005114307931711527,0.002021930854481219,0.004808820249580487,0.0030868985771829813,0.0020178508981034964,0.0041948325320256726,0.0020156608111422023,-0.0031051103973785813,-0.015796663113173254,-0.024404557039141204,-0.269999999999996,0.4000000000000057,-0.010000000000005116,-0.060000000000002274,0.25,-0.37999999999999545,0.3299999999999983,0.12999999999999545,0.3100000000000023,0.20000000000000284,0.12999999999999545,0.269999999999996,0.12999999999999545,-0.20000000000000284,-1.0300000000000011,-1.5900000000000034,64.58,64.80857142857131,65.66000000000001,64.67431672720512,65.02983918629899,65.40296427529628,0.18147543453465895,0.6221162041224457,1.35856541984612,-1
2017-06-02,0.35,0.41,-0.8,0.3,-0.49,0.011998298066800786,-0.00416956823672478,0.006183355610791256,-0.0001550507794409,-0.0009298001599666387,0.003879883814921469,-0.00589148990912225,0.005114307931711527,0.012927234501459755,0.004808820249580487,0.0030868985771829813,0.0020178508981034964,0.0041948325320256726,0.0020156608111422023,-0.0031051103973785813,-0.015796663113173254,0.7800000000000011,-0.269999999999996,0.4000000000000057,-0.010000000000005116,-0.060000000000002274,0.25,-0.37999999999999545,0.3299999999999983,0.8400000000000034,0.3100000000000023,0.20000000000000284,0.12999999999999545,0.269999999999996,0.12999999999999545,-0.20000000000000284,-1.0300000000000011,64.68142857142855,64.76142857142845,65.57380952380954,64.85573754540384,65.07919396145911,65.40269479572389,0.3619129071850834,0.5395134152900135,1.3119278798418803,1
2017-06-05,-0.17,-0.46,0.0,-0.2,0.02,0.0012224940397811,0.011998298066800786,-0.00416956823672478,0.006183355610791256,-0.0001550507794409,-0.0009298001599666387,0.003879883814921469,-0.00589148990912225,0.015079528701207384,0.012927234501459755,0.004808820249580487,0.0030868985771829813,0.0020178508981034964,0.0041948325320256726,0.0020156608111422023,-0.0031051103973785813,0.0799999999999983,0.7800000000000011,-0.269999999999996,0.4000000000000057,-0.010000000000005116,-0.060000000000002274,0.25,-0.37999999999999545,0.980000000000004,0.8400000000000034,0.3100000000000023,0.20000000000000284,0.12999999999999545,0.269999999999996,0.12999999999999545,-0.20000000000000284,64.84857142857142,64.72785714285702,65.45000000000002,65.01180315905287,65.13263476659789,65.40972254156718,0.4262404865649761,0.47001110578753663,1.1795973889432045,1
