date,close,Mkt-RF,SMB,HML,RMW,CMA
2015-11-24,16.29,0.21,0.75,0.26,0.24,0.1
2015-11-25,16.37,0.09,0.84,-0.55,-0.08,-0.1
2015-11-27,16.66,0.09,0.19,-0.29,-0.18,0.07
2015-11-30,16.16,-0.47,0.2,0.69,-0.24,0.09
2015-12-01,16.71,0.97,-0.64,0.24,-0.09,-0.14
2015-12-02,16.26,-1.01,0.19,-0.7,0.02,-0.15
2015-12-03,15.45,-1.5,-0.2,0.43,0.33,0.17
2015-12-04,14.58,1.86,-1.06,-0.52,0.12,-0.33
2015-12-07,14.44,-0.84,-0.87,-0.66,0.68,0.18
2015-12-08,14.82,-0.59,0.27,-1.23,-0.15,-0.77
2015-12-09,14.59,-0.83,-0.21,0.42,0.47,0.63
2015-12-10,14.24,0.3,0.08,-0.22,0.11,-0.16
2015-12-11,13.17,-2.03,-0.2,-0.06,0.18,0.34
2015-12-14,12.78,0.29,-1.12,-0.19,0.14,-0.33
2015-12-15,13.25,1.1,0.2,0.77,-0.83,0.13
2015-12-16,13.65,1.47,0.01,-0.64,-0.11,-0.17
2015-12-17,13.84,-1.46,0.31,-0.31,-0.23,-0.06
2015-12-18,14.13,-1.7,0.7,-0.39,-0.29,0.19
2015-12-21,14.22,0.74,-0.18,-0.06,-0.14,0.04
2015-12-22,14.1,0.89,0.02,0.51,0.2,0.5
2015-12-23,14.33,1.3,0.23,0.58,-0.01,0.14
2015-12-24,14.14,-0.11,0.27,-0.03,-0.21,0.08
2015-12-28,14.0,-0.29,-0.54,-0.38,0.08,-0.07
2015-12-29,13.47,1.05,0.03,-0.31,0.03,-0.33
2015-12-30,13.69,-0.74,-0.17,-0.13,0.04,0.15
2015-12-31,13.44,-0.92,-0.21,0.25,-0.12,0.1
2016-01-04,13.14,-1.59,-0.73,0.53,0.35,0.42
2016-01-05,13.43,0.12,-0.25,0.01,0.03,0.35
2016-01-06,12.7,-1.35,-0.21,-0.01,0.15,0.04
2016-01-07,12.78,-2.44,-0.27,0.08,0.48,0.43
2016-01-08,11.69,-1.11,-0.52,-0.03,0.21,0.04
2016-01-11,11.25,-0.06,-0.62,0.34,0.65,0.43
2016-01-12,11.48,0.71,-0.45,-0.78,-0.03,-0.31
2016-01-13,10.87,-2.67,-0.56,0.78,0.37,0.68
2016-01-14,11.34,1.65,-0.08,-0.4,-0.62,-0.47
2016-01-15,11.29,-2.14,0.41,-0.21,0.32,0.33
2016-01-19,11.14,-0.2,-1.38,-0.07,0.3,0.26
2016-01-20,12.29,-0.94,1.68,-1.24,0.18,-0.55
2016-01-21,11.75,0.45,-0.46,0.01,0.47,0.6
2016-01-22,12.47,2.08,0.13,-0.19,-0.46,-0.76
2016-01-25,11.92,-1.71,-0.51,-0.99,0.3,-0.01
2016-01-26,11.75,1.52,0.58,1.22,0.58,0.72
2016-01-27,11.04,-1.11,-0.37,1.71,-0.24,1.06
2016-01-28,10.6,0.49,-0.58,1.26,-0.25,-0.5
2016-01-29,11.34,2.57,0.58,0.37,0.0,0.45
2016-02-01,11.27,-0.04,-0.32,-0.95,0.08,-0.41
2016-02-02,10.73,-2.0,-0.13,-0.35,0.29,0.4
2016-02-03,10.6,0.46,-0.21,0.45,0.42,0.37
2016-02-04,10.13,0.27,0.37,0.33,0.2,0.1
