Date,Mkt-RF,SMB,HML,RMW,CMA
2016-09-14,-0.08,0.05,-0.83,0.14,-0.5
2016-09-15,1.07,0.3,-0.33,0.08,-0.22
2016-09-16,-0.36,0.29,-0.45,0.17,-0.21
2016-09-19,0.05,0.49,0.17,-0.04,0.35
2016-09-20,-0.02,-0.32,-0.51,-0.44,-0.11
2016-09-21,1.12,0.2,0.33,-0.37,0.51
2016-09-22,0.7,0.8,-0.06,0.04,0.14
2016-09-23,-0.6,-0.06,-0.19,0.51,-0.49
2016-09-26,-0.88,-0.29,-0.35,-0.19,0.19
2016-09-27,0.64,-0.13,-0.53,0.04,-0.4
2016-09-28,0.56,0.21,1.1,-1.19,1.12
2016-09-29,-0.98,-0.39,0.54,0.25,0.67
2016-09-30,0.88,0.42,0.35,-0.2,0.1
2016-10-03,-0.26,-0.04,-0.13,-0.02,0.14
2016-10-04,-0.46,0.05,0.09,0.17,-0.3
2016-10-05,0.58,0.4,0.78,-0.46,0.44
2016-10-06,-0.06,-0.22,0.37,0.42,0.23
2016-10-07,-0.38,-0.53,0.16,-0.21,-0.38
2016-10-10,0.52,0.55,0.01,-0.63,-0.21
2016-10-11,-1.3,-0.56,0.49,0.34,0.09
2016-10-12,0.06,-0.2,0.37,0.73,0.15
2016-10-13,-0.42,-0.74,-0.63,0.29,-0.13
2016-10-14,0.01,-0.33,0.57,0.11,0.09
2016-10-17,-0.29,-0.03,0.14,0.09,0.14
2016-10-18,0.6,-0.16,0.03,-0.32,-0.29
2016-10-19,0.25,0.12,0.91,-0.13,0.46
2016-10-20,-0.16,-0.05,-0.11,-0.48,-0.04
2016-10-21,0.02,-0.18,-0.31,0.19,-0.17
2016-10-24,0.54,0.07,-0.17,0.6,-0.49
2016-10-25,-0.46,-0.6,0.23,0.05,0.0
2016-10-26,-0.23,-0.74,0.74,0.09,0.55
2016-10-27,-0.33,-0.95,0.6,-0.09,-0.03
2016-10-28,-0.29,-0.11,0.11,-0.05,0.33
2016-10-31,0.02,0.08,0.13,0.6,-0.31
2016-11-01,-0.68,-0.36,0.18,-0.54,-0.07
2016-11-02,-0.73,-0.58,0.36,0.95,0.15
2016-11-03,-0.4,-0.38,1.02,0.12,0.79
2016-11-04,-0.12,0.84,-0.43,-0.09,-0.06
2016-11-07,2.23,0.18,-0.16,-0.27,-0.17
2016-11-08,0.4,-0.11,-0.2,-0.05,0.3
2016-11-09,1.46,2.07,1.0,-0.72,0.74
2016-11-10,0.32,1.45,1.81,-0.14,0.39
2016-11-11,0.18,2.51,-0.04,0.16,-0.33
2016-11-14,0.21,0.87,1.43,-0.12,0.35
2016-11-15,0.8,-0.56,0.14,-0.64,0.17
