date,close
2015-10-16,16.53
2015-10-19,16.6
2015-10-20,15.64
2015-10-21,16.17
2015-10-22,16.27
2015-10-23,16.62
2015-10-26,16.41
2015-10-27,16.28
2015-10-28,16.67
2015-10-29,16.53
2015-10-30,16.41
2015-11-02,16.9
2015-11-03,16.26
2015-11-04,17.0
2015-11-05,17.87
2015-11-06,17.76
2015-11-09,17.98
2015-11-10,18.43
2015-11-11,18.27
2015-11-12,17.76
2015-11-13,18.11
2015-11-16,17.49
2015-11-17,17.75
2015-11-18,18.29
2015-11-19,17.7
2015-11-20,17.7
2015-11-23,17.86
2015-11-24,17.78
2015-11-25,17.97
2015-11-27,17.97
2015-11-30,17.86
2015-12-01,17.39
2015-12-02,17.55
2015-12-03,16.67
2015-12-04,16.98
2015-12-07,16.76
2015-12-08,16.76
2015-12-09,16.33
2015-12-10,16.17
2015-12-11,15.6
2015-12-14,15.6
2015-12-15,15.94
2015-12-16,16.57
2015-12-17,16.0
2015-12-18,16.43
2015-12-21,16.11
2015-12-22,16.31
2015-12-23,15.63
2015-12-24,15.31
2015-12-28,15.01
2015-12-29,14.93
2015-12-30,14.74
2015-12-31,14.84
2016-01-04,14.21
2016-01-05,14.25
2016-01-06,13.55
2016-01-07,13.56
2016-01-08,14.48
2016-01-11,13.3
2016-01-12,13.81
2016-01-13,13.0
2016-01-14,13.32
2016-01-15,13.0
2016-01-19,12.76
2016-01-20,13.23
2016-01-21,12.93
2016-01-22,13.55
2016-01-25,13.3
2016-01-26,13.24
2016-01-27,12.65
2016-01-28,12.28
2016-01-29,12.42
2016-02-01,12.59
2016-02-02,12.45
2016-02-03,12.26
2016-02-04,12.42
2016-02-05,11.77
2016-02-08,11.0
2016-02-09,10.83
2016-02-10,10.45
2016-02-11,10.48
2016-02-12,10.45
2016-02-16,11.4
2016-02-17,11.51
2016-02-18,9.92
2016-02-19,9.6
2016-02-22,10.31
2016-02-23,9.61
2016-02-24,9.12
2016-02-25,9.24
2016-02-26,9.26
2016-02-29,8.4
2016-03-01,8.55
2016-03-02,9.1
2016-03-03,8.65
2016-03-04,8.46
2016-03-07,8.66
2016-03-08,8.27
2016-03-09,8.59
2016-03-10,8.35
2016-03-11,8.56
2016-03-14,8.85
2016-03-15,8.21
2016-03-16,8.26
2016-03-17,8.34
2016-03-18,8.63
2016-03-21,8.78
2016-03-22,9.37
2016-03-23,8.62
2016-03-24,8.51
2016-03-28,8.45
2016-03-29,9.08
2016-03-30,8.91
2016-03-31,9.24
2016-04-01,9.37
2016-04-04,9.51
2016-04-05,9.31
2016-04-06,9.94
2016-04-07,9.72
2016-04-08,9.44
2016-04-11,9.38
2016-04-12,9.33
2016-04-13,9.78
2016-04-14,9.69
2016-04-15,9.57
2016-04-18,9.69
2016-04-19,9.61
2016-04-20,9.29
2016-04-21,9.82
2016-04-22,9.82
2016-04-25,9.78
2016-04-26,9.31
2016-04-27,9.3
2016-04-28,9.32
2016-04-29,9.51
2016-05-02,9.76
2016-05-03,9.19
2016-05-04,9.48
2016-05-05,9.4
2016-05-06,9.37
2016-05-09,10.04
2016-05-10,10.22
2016-05-11,9.77
2016-05-12,9.55
2016-05-13,9.83
2016-05-16,9.99
2016-05-17,9.95
2016-05-18,10.25
2016-05-19,10.07
2016-05-20,10.41
2016-05-23,10.55
2016-05-24,10.97
2016-05-25,11.1
2016-05-26,10.9
2016-05-27,11.14
2016-05-31,11.78
2016-06-01,11.99
2016-06-02,12.2
2016-06-03,11.89
2016-06-06,12.24
2016-06-07,12.13
2016-06-08,12.12
2016-06-09,11.8
2016-06-10,11.67
2016-06-13,11.28
2016-06-14,11.3
2016-06-15,11.25
2016-06-16,11.01
2016-06-17,10.52
2016-06-20,10.83
2016-06-21,10.66
2016-06-22,10.63
2016-06-23,10.97
2016-06-24,10.23
2016-06-27,9.75
2016-06-28,10.23
2016-06-29,10.58
2016-06-30,10.8
2016-07-01,11.05
2016-07-05,10.81
2016-07-06,11.33
2016-07-07,11.21
2016-07-08,11.41
2016-07-11,11.4
2016-07-12,11.58
2016-07-13,11.34
2016-07-14,11.28
2016-07-15,11.44
2016-07-18,11.5
2016-07-19,11.2
2016-07-20,11.68
2016-07-21,11.71
2016-07-22,11.41
2016-07-25,11.38
2016-07-26,11.34
2016-07-27,11.71
2016-07-28,11.13
2016-07-29,11.26
2016-08-01,11.34
2016-08-02,11.45
2016-08-03,11.74
2016-08-04,11.16
2016-08-05,12.49
2016-08-08,12.14
2016-08-09,12.24
2016-08-10,12.01
2016-08-11,11.83
2016-08-12,11.97
2016-08-15,12.06
2016-08-16,11.79
2016-08-17,11.93
2016-08-18,12.13
2016-08-19,11.94
2016-08-22,12.33
2016-08-23,12.0
2016-08-24,13.36
2016-08-25,12.71
2016-08-26,12.2
2016-08-29,12.15
2016-08-30,12.0
2016-08-31,12.02
2016-09-01,12.15
2016-09-02,12.3
2016-09-06,12.23
2016-09-07,11.83
2016-09-08,11.88
2016-09-09,11.49
2016-09-12,11.87
2016-09-13,11.52
2016-09-14,11.69
2016-09-15,11.66
2016-09-16,11.71
2016-09-19,11.78
2016-09-20,11.99
2016-09-21,11.85
2016-09-22,12.09
2016-09-23,11.87
2016-09-26,11.64
2016-09-27,11.86
2016-09-28,11.81
2016-09-29,11.39
2016-09-30,11.69
2016-10-03,11.96
2016-10-04,11.7
2016-10-05,11.71
2016-10-06,11.4
2016-10-07,11.6
2016-10-10,11.77
2016-10-11,13.24
2016-10-12,12.58
2016-10-13,12.33
2016-10-14,12.05
2016-10-17,11.92
2016-10-18,12.0
2016-10-19,11.69
2016-10-20,12.26
2016-10-21,11.98
2016-10-24,11.87
2016-10-25,11.8
2016-10-26,11.53
2016-10-27,11.41
2016-10-28,11.38
2016-10-31,11.15
2016-11-01,11.25
2016-11-02,10.9
2016-11-03,10.8
2016-11-04,11.1
2016-11-07,11.1
2016-11-08,11.05
2016-11-09,12.6
2016-11-10,13.6
2016-11-11,13.65
2016-11-14,13.9
2016-11-15,13.35
2016-11-16,13.23
2016-11-17,13.7
2016-11-18,13.55
2016-11-21,14.53
2016-11-22,13.55
2016-11-23,14.1
2016-11-25,14.15
2016-11-28,13.9
2016-11-29,14.05
2016-11-30,14.15
2016-12-01,13.8
2016-12-02,14.15
2016-12-05,14.4
2016-12-06,14.8
2016-12-07,14.3
2016-12-08,14.5
2016-12-09,14.9
2016-12-12,14.5
2016-12-13,14.65
2016-12-14,14.25
2016-12-15,15.0
2016-12-16,15.35
2016-12-19,15.7
2016-12-20,15.25
2016-12-21,14.95
2016-12-22,14.95
2016-12-23,15.15
2016-12-27,14.95
2016-12-28,14.95
2016-12-29,15.0
2016-12-30,15.05
2017-01-03,15.1
2017-01-04,15.73
2017-01-05,15.5
2017-01-06,16.4
2017-01-09,16.25
2017-01-10,16.15
2017-01-11,15.45
2017-01-12,15.75
2017-01-13,16.1
2017-01-17,15.0
2017-01-18,15.1
2017-01-19,14.75
2017-01-20,14.35
2017-01-23,14.4
2017-01-24,14.6
2017-01-25,15.05
2017-01-26,15.0
2017-01-27,15.15
2017-01-30,15.1
2017-01-31,18.9
2017-02-01,19.35
2017-02-02,19.3
2017-02-03,19.3
2017-02-06,19.0
2017-02-07,18.85
2017-02-08,18.75
2017-02-09,19.0
2017-02-10,18.9
2017-02-13,18.6
2017-02-14,19.05
2017-02-15,19.05
2017-02-16,19.0
2017-02-17,19.0
2017-02-21,16.05
2017-02-22,15.1
2017-02-23,15.1
2017-02-24,15.4
2017-02-27,15.9
2017-02-28,15.45
2017-03-01,15.1
2017-03-02,14.8
2017-03-03,15.0
2017-03-06,14.65
2017-03-07,14.3
2017-03-08,14.4
2017-03-09,14.4
2017-03-10,14.15
2017-03-13,14.0
2017-03-14,13.75
2017-03-15,13.8
2017-03-16,13.85
2017-03-17,13.75
2017-03-20,13.95
2017-03-21,13.2
2017-03-22,13.65
2017-03-23,13.4
2017-03-24,13.55
2017-03-27,13.95
2017-03-28,13.45
2017-03-29,13.45
2017-03-30,13.2
2017-03-31,13.35
2017-04-03,13.35
2017-04-04,13.5
2017-04-05,13.35
2017-04-06,13.55
2017-04-07,13.5
2017-04-10,13.2
2017-04-11,13.3
2017-04-12,13.25
2017-04-13,13.25
2017-04-17,13.3
2017-04-18,13.3
2017-04-19,13.15
2017-04-20,13.25
2017-04-21,13.1
2017-04-24,13.35
2017-04-25,13.85
2017-04-26,14.0
2017-04-27,14.0
2017-04-28,14.35
2017-05-01,14.7
2017-05-02,15.75
2017-05-03,16.05
2017-05-04,15.95
2017-05-05,15.75
2017-05-08,15.5
2017-05-09,16.0
2017-05-10,15.15
2017-05-11,15.5
2017-05-12,15.7
2017-05-15,15.85
2017-05-16,15.9
2017-05-17,15.7
2017-05-18,15.95
2017-05-19,15.55
2017-05-22,14.8
2017-05-23,14.7
2017-05-24,15.25
2017-05-25,15.0
2017-05-26,14.75
2017-05-30,14.65
2017-05-31,14.5
2017-06-01,14.75
2017-06-02,14.8
2017-06-05,14.9
2017-06-06,14.8
2017-06-07,15.65
2017-06-08,16.3
2017-06-09,15.9
2017-06-12,15.95
2017-06-13,16.7
2017-06-14,16.05
2017-06-15,16.3
2017-06-16,16.65
2017-06-19,17.05
2017-06-20,17.2
2017-06-21,17.75
2017-06-22,17.95
2017-06-23,18.15
2017-06-26,18.15
2017-06-27,17.7
2017-06-28,17.65
2017-06-29,17.1
2017-06-30,16.9
2017-07-03,17.1
2017-07-05,17.05
2017-07-06,16.75
2017-07-07,16.7
2017-07-10,16.6
2017-07-11,16.55
2017-07-12,16.85
2017-07-13,17.25
2017-07-14,16.9
2017-07-17,17.05
2017-07-18,16.7
2017-07-19,16.9
2017-07-20,17.25
2017-07-21,16.8
2017-07-24,16.8
2017-07-25,16.55
2017-07-26,16.75
2017-07-27,16.3
2017-07-28,16.5
2017-07-31,16.55
2017-08-01,16.55
2017-08-02,16.0
2017-08-03,16.15
2017-08-04,16.4
2017-08-07,16.25
2017-08-08,16.25
2017-08-09,16.65
2017-08-10,16.2
2017-08-11,15.9
2017-08-14,16.25
2017-08-15,16.25
2017-08-16,16.0
2017-08-17,15.45
2017-08-18,15.3
2017-08-21,15.3
2017-08-22,15.8
2017-08-23,15.85
2017-08-24,15.95
2017-08-25,15.8
2017-08-28,16.15
2017-08-29,16.3
2017-08-30,16.45
2017-08-31,16.85
2017-09-01,16.75
2017-09-05,17.1
2017-09-06,16.8
2017-09-07,16.5
2017-09-08,16.95
2017-09-11,17.3
2017-09-12,17.7
2017-09-13,17.4
2017-09-14,17.35
2017-09-15,17.6
2017-09-18,16.95
2017-09-19,16.65
2017-09-20,16.8
2017-09-21,16.8
2017-09-22,17.15
2017-09-25,17.55
2017-09-26,17.7
2017-09-27,18.6
2017-09-28,19.05
2017-09-29,18.5
2017-10-02,17.95
2017-10-03,17.5
2017-10-04,15.1
2017-10-05,13.8
2017-10-06,12.95
2017-10-09,12.45
2017-10-10,12.35
2017-10-11,12.8
2017-10-12,12.9
2017-10-13,13.55
2017-10-16,13.6
2017-10-17,14.2
2017-10-18,14.35
2017-10-19,14.2
2017-10-20,14.05
2017-10-23,13.9
2017-10-24,13.85
2017-10-25,13.8
2017-10-26,14.1
2017-10-27,14.5
2017-10-30,14.35
2017-10-31,14.1
2017-11-01,12.33
2017-11-02,12.83
2017-11-03,13.2
2017-11-06,13.85
2017-11-07,13.1
2017-11-08,13.1
2017-11-09,13.25
2017-11-10,13.1
2017-11-13,12.9
2017-11-14,12.65
2017-11-15,13.1
2017-11-16,13.4
2017-11-17,13.7
2017-11-20,13.2
2017-11-21,13.65
2017-11-22,13.7
2017-11-24,13.8
2017-11-27,13.65
2017-11-28,14.1
2017-11-29,14.0
2017-11-30,13.8
2017-12-01,12.95
2017-12-04,12.55
2017-12-05,12.45
2017-12-06,12.2
2017-12-07,12.4
2017-12-08,12.55
2017-12-11,12.55
2017-12-12,12.75
2017-12-13,13.35
2017-12-14,13.05
2017-12-15,13.6
2017-12-18,13.25
2017-12-19,13.0
2017-12-20,12.85
2017-12-21,13.35
2017-12-22,13.45
2017-12-26,13.3
2017-12-27,13.55
2017-12-28,13.75
2017-12-29,13.95
2018-01-02,14.35
2018-01-03,14.15
2018-01-04,14.75
2018-01-05,17.55
2018-01-08,15.15
2018-01-09,14.15
2018-01-10,13.9
2018-01-11,14.3
2018-01-12,15.75
2018-01-16,15.0
2018-01-17,15.5
2018-01-18,15.15
2018-01-19,16.4
2018-01-22,16.5
2018-01-23,16.6
2018-01-24,16.25
2018-01-25,16.45
2018-01-26,16.45
2018-01-29,16.4
2018-01-30,17.25
2018-01-31,17.0
2018-02-01,16.7
2018-02-02,15.9
2018-02-05,15.4
2018-02-06,16.2
2018-02-07,16.25
2018-02-08,15.9
2018-02-09,16.25
2018-02-12,16.3
2018-02-13,16.0
2018-02-14,16.25
2018-02-15,16.1
2018-02-16,16.05
2018-02-20,15.95
2018-02-21,16.35
